sex,age,ax,bx,cx,vx
Female,0,-0.66186281334383,0.768375458075558,-0.0276526585094366,0
Female,1-4,NA,NA,NA,NA
Female,5-9,-2.56080042827845,1.79373011625491,0.108216798562532,0.278808239532778
Female,10-14,-3.2434878477907,1.66526158454675,0.108766992722135,0.342303850077532
Female,15-19,-3.10992887312490,1.5797313207243,0.114700047874228,0.400651352065886
Female,20-24,-2.97888535560963,1.5053346523347,0.101140941230641,0.413295601703652
Female,25-29,-3.01850744347823,1.37293093611924,0.0815358641018554,0.388381361268693
Female,30-34,-3.02007345064568,1.28785756036351,0.0778066615434165,0.339109883184782
Female,35-39,-3.1487394748916,1.10709688432030,0.0637190778615326,0.282881596445607
Female,40-44,-3.26899913881940,0.933945495750759,0.0532645824343458,0.224621867430123
Female,45-49,-3.52021817909588,0.66423763821388,0.0289405364316340,0.177428479313842
Female,50-54,-3.40763858322437,0.55555206086523,0.0208263976424387,0.142885823566349
Female,55-59,-3.25866971099761,0.446083766592483,0.0101357810784305,0.118995407806435
Female,60-64,-2.89072949528753,0.398831600180196,0.00416416475640234,0.0806551650937455
Female,65-69,-2.66082588429976,0.259052615142433,-0.0134545437606229,0.0571175061539533
Female,70-74,-2.29491646957014,0.175935416831952,-0.0228570091951607,0.0294545653670851
Female,75-79,-2.04141341199065,0.0480799155591892,-0.0353733886507841,0.0114467891147405
Female,80-84,-1.73079992673339,-0.00639781767232538,-0.0347172980592731,0.00325923672487253
Female,85-89,-1.44730928191656,-0.0530736182674413,-0.0327308729914504,0.00397136749889219
Female,90-94,-1.15821785044026,-0.0616508044525306,-0.025930204151502,0
Female,95-99,-0.865460308477975,-0.0598255797151004,-0.0198085213587724,0
Female,100-104,-0.629412748419085,-0.0512937141148681,-0.0134424359942910,0
Female,105-109,-0.428180253428647,-0.0341091971534106,-0.00748259441202121,0
Female,110+,-0.296637588244167,-0.0229038259495638,-0.00406758137892444,0
Male,0,-0.510107073962714,0.816432067570651,-0.0245146667827915,0
Male,1-4,NA,NA,NA,NA
Male,5-9,-3.04354042028688,1.52698179637429,0.081660318917543,0.171998295840614
Male,10-14,-3.95543164882019,1.23895852618124,0.0638495465637181,0.168263206310010
Male,15-19,-3.93740052043582,1.04247971314827,0.0749508953560368,0.216109468588607
Male,20-24,-3.41649866116310,1.16506229518495,0.0945484255006006,0.302174752514936
Male,25-29,-3.42366110538792,1.14438512774588,0.0904725205022772,0.362364394513608
Male,30-34,-3.44384462756528,1.06824286396208,0.0814323811155612,0.384826779170831
Male,35-39,-3.41977578780034,0.962047590094026,0.0714160686973468,0.377948103547558
Male,40-44,-3.38285782742949,0.833684934341847,0.0608632135453063,0.352974487081659
Male,45-49,-3.44556504331732,0.603887660258663,0.0362498006876670,0.306021622001942
Male,50-54,-3.42168407832628,0.400074172047341,0.0138365101311965,0.256350699123925
Male,55-59,-3.4144040006723,0.176036145554819,-0.0128101074119134,0.201668788651162
Male,60-64,-3.14020739430562,0.0920879367556321,-0.0216442591190353,0.161608844082740
Male,65-69,-2.8565469687576,0.0217311014927721,-0.0282702581602213,0.121574259404048
Male,70-74,-2.41138733840464,0.038758091016001,-0.023489596309721,0.0864481864193535
Male,75-79,-2.04114778656127,0.00926081295777703,-0.0252409364112197,0.0536683076419322
Male,80-84,-1.64560207675431,0.008493270232893,-0.0221101299327932,0.0315725222264515
Male,85-89,-1.32027803108074,-0.0183437558715347,-0.0218625016743341,0.00611987620003284
Male,90-94,-1.03683382739214,-0.0314240694580901,-0.0183977248259947,0
Male,95-99,-0.731049386156319,-0.0169880858480371,-0.0132725927876603,0
Male,100-104,-0.502444761065897,-0.00809281483923157,-0.0086277579926198,0
Male,105-109,-0.327491127748372,6.03004389815864e-05,-0.00476005675454231,0
Male,110+,-0.221175648673133,0.00280790366227191,-0.00265041592053180,0
Total,0,-0.588350456134271,0.789360990432017,-0.0266018574786717,0
Total,1-4,NA,NA,NA,NA
Total,5-9,-2.83624206105331,1.63530415868339,0.0919067248155254,0.230357970653874
Total,10-14,-3.64178503779443,1.41715480643976,0.0821441556968437,0.240276004498681
Total,15-19,-3.61712739144395,1.24921443809056,0.0908733790266085,0.284942951157744
Total,20-24,-3.28184171424993,1.27647146134223,0.0964140519066199,0.350775192270864
Total,25-29,-3.26274872576844,1.23345414402716,0.0885343222780417,0.384159131636506
Total,30-34,-3.26302911869664,1.16263941732058,0.081782638010263,0.383160094622708
Total,35-39,-3.28701006810135,1.03910754682726,0.0714707196177012,0.356413874894073
Total,40-44,-3.32990497822790,0.887792605160142,0.0604668749133798,0.315034113508196
Total,45-49,-3.4836628652996,0.637341358112461,0.0353433148659728,0.261023381004698
Total,50-54,-3.41976359406555,0.480025043161154,0.0198669832244305,0.211219934323140
Total,55-59,-3.34768123281649,0.311950862621158,0.000869535736140718,0.161618423653126
Total,60-64,-3.01314168881011,0.260054121613814,-0.00487275857615501,0.118100970677167
Total,65-69,-2.74770306134605,0.161478439591125,-0.0171262453625211,0.0826815073170736
Total,70-74,-2.33139212832282,0.134473333704498,-0.0197358470101935,0.0523548275627801
Total,75-79,-2.02446499442927,0.0477341345745762,-0.0291555075192962,0.0291770443943113
Total,80-84,-1.68680966841538,0.00847435572785847,-0.0292794003563905,0.0188473777102966
Total,85-89,-1.40184166006317,-0.0412477455542266,-0.0299149974268405,0.00622064541925817
Total,90-94,-1.12504777548407,-0.0580247876356107,-0.025304174219468,0
Total,95-99,-0.836945845838783,-0.0541923368876014,-0.0194911082539212,0
Total,100-104,-0.604225793743432,-0.0448517393482351,-0.0132252579879197,0
Total,105-109,-0.407128460606864,-0.0280338980512616,-0.00728454866681662,0
Total,110+,-0.284383646543134,-0.0191844348620203,-0.00399885831159013,0
